index,brand,name,disc_price,act_price,imag_url
142,anni designer,womens pochampally cotton saree blouse piece,369.0,3999.0,https://m.media-amazon.com/images/I/91sJ-AoB3mS._AC_UL320_.jpg
143,womanista,womens jacquard georgette saree blouse,619.0,1999.0,https://m.media-amazon.com/images/I/81h7PuLq-yL._AC_UL320_.jpg
144,sgf11,womens kanjivaram soft silk saree blouse piece,999.0,5999.0,https://m.media-amazon.com/images/I/417HLZGKzgS._AC_UL320_.jpg
145,hinfy export,saree women hot new release party wear half sarees offer designer rupees latest designer saree combo art silk new collection latest designer blouse beautiful women party wear sadi offer sarees collection kanchipuram bollywood bhagalpuri embroidered free size georgette sari mirror work marriage wear original sarees wedding casual design blouse materials,999.0,1999.0,https://m.media-amazon.com/images/I/51P59OhDwRL._AC_UL320_.jpg
146,yashika,art silk blouse piece saree,269.0,1699.0,https://m.media-amazon.com/images/I/91TBeQbSmbL._AC_UL320_.jpg
147,nivah fashion,womens kanjivaram banarasi art silk saree blouse piece,699.0,1999.0,https://m.media-amazon.com/images/I/91HfxEdbBJL._AC_UL320_.jpg
148,sourbh,womens pure cotton saree unstiched blouse piece,449.0,1999.0,https://m.media-amazon.com/images/I/91+ilAXbIuL._AC_UL320_.jpg
149,flosive,womens georgette net embroidery saree blouse piece,899.0,1200.0,https://m.media-amazon.com/images/I/71xE92l+GGL._AC_UL320_.jpg
150,gondaliya brothers,womens woven satin saree blouse piece,799.0,2599.0,https://m.media-amazon.com/images/I/91BnRyHnzqL._AC_UL320_.jpg
151,yashika,silk blouse piece saree,269.0,1699.0,https://m.media-amazon.com/images/I/910Tt0suJuL._AC_UL320_.jpg
152,manu enterprise,womens kanchipuram silk kanchi pattu saree blouse,1499.0,3000.0,https://m.media-amazon.com/images/I/61BF-fFSTwS._AC_UL320_.jpg
153,pramukh suppliers,womens chanderi cotton saree unstitched blouse piece,582.0,4992.0,https://m.media-amazon.com/images/I/51tk1k94ThL._AC_UL320_.jpg
154,parevdee,womens south silk jacquard designer new cotton silk saree blouse piece,499.0,1599.0,https://m.media-amazon.com/images/I/718rYyIqGFL._AC_UL320_.jpg
155,sgf11,womens kanchipuram kanjivaram silk saree blouse piece,990.0,5999.0,https://m.media-amazon.com/images/I/61QKUBBRubS._AC_UL320_.jpg
156,womanista,womens red chiffon floral printed saree,459.0,1559.0,https://m.media-amazon.com/images/I/71BOHxB4TBL._AC_UL320_.jpg
157,patisol,womens khadi silk saree blouse piece,299.0,1599.0,https://m.media-amazon.com/images/I/91CROvH+DLL._AC_UL320_.jpg
158,jankit designer,art silk saree blouse piece,199.0,999.0,https://m.media-amazon.com/images/I/71KdZHdUPWL._AC_UL320_.jpg
159,sgf11,womens kanjivaram soft silk saree blouse piece,999.0,5999.0,https://m.media-amazon.com/images/I/41YAEmt3qFS._AC_UL320_.jpg
160,leeza store,womens tissue cotton kerala kasavu saree blouse piece,449.0,2999.0,https://m.media-amazon.com/images/I/714nwRTCa8L._AC_UL320_.jpg
161,vg creation,khushi creation womens designer aqua blue jacquard soft silk saree party wear wedding kanchipuram silk sarees women casual banarasi saree women,1029.0,2999.0,https://m.media-amazon.com/images/I/6137NLQAnCS._AC_UL320_.jpg
162,om sai latest creation,soft cotton silk saree women banarasi saree beautiful women saree,275.0,1999.0,https://m.media-amazon.com/images/I/718MSi4ZSRL._AC_UL320_.jpg
163,silk textiles bhagalpur,womens bhagalpuri linen slub saree contrast red blouse piece,575.0,1499.0,https://m.media-amazon.com/images/I/31QjZP4bpiL._AC_UL320_.jpg
164,sourbh,womens pure cotton saree unstiched blouse piece,449.0,895.0,https://m.media-amazon.com/images/I/81JxWA-m4SL._AC_UL320_.jpg
165,anni designer,womens georgette flower printed plain weave saree blouse piece,269.0,2499.0,https://m.media-amazon.com/images/I/41nwPDJDUvL._AC_UL320_.jpg
166,rrb,womens kanchipuram soft lichi silk saree blouse piece,899.0,3199.0,https://m.media-amazon.com/images/I/31AEIGPE4BL._AC_UL320_.jpg
167,zeno,zenophily womens banarasi jacquard soft lichi silk saree blouse piece,599.0,1999.0,https://m.media-amazon.com/images/I/71PzfMT5+cS._AC_UL320_.jpg
168,anni designer,womens pure cotton saree without blouse,349.0,1999.0,https://m.media-amazon.com/images/I/91qX7Q7w-KL._AC_UL320_.jpg
169,nakshatra tex,womens silk banarasi saree,1398.0,3200.0,https://m.media-amazon.com/images/I/71sGC0NkGEL._AC_UL320_.jpg
170,jiyanitex,womens pure chanderi cotton embroidered work saree blouse piece,620.0,1499.0,https://m.media-amazon.com/images/I/41tLghcepZS._AC_UL320_.jpg
171,yashika,womens art silk kalamkari bhagalpuri style saree blouse piece soft feel,269.0,2499.0,https://m.media-amazon.com/images/I/91HnNBREpPL._AC_UL320_.jpg
172,applix style,womens silk saree blouse piece,1397.0,8999.0,https://m.media-amazon.com/images/I/61fgfqhIrYS._AC_UL320_.jpg
173,rensil,womens art silk saree blouse piece,399.0,1999.0,https://m.media-amazon.com/images/I/91NWB0WF0FL._AC_UL320_.jpg
174,jaytara sarees,banarasi silk sarees folara woven disen saree,999.0,3999.0,https://m.media-amazon.com/images/I/91i+J6LjJzL._AC_UL320_.jpg
175,mimosa,womens kanchipuram chiffon saree blouse piece,1244.0,4199.0,https://m.media-amazon.com/images/I/81m53vOAv+L._AC_UL320_.jpg
176,mimosa,womens kanchipuram chiffon saree running blouse,2489.0,7999.0,https://m.media-amazon.com/images/I/91zNOvQhJDL._AC_UL320_.jpg
177,rajsundari,womens jacquard cotton blend saree without blouse piece,899.0,2299.0,https://m.media-amazon.com/images/I/91MgOByLa3L._AC_UL320_.jpg
178,jaytara sarees,banarasi silk sarees,999.0,3999.0,https://m.media-amazon.com/images/I/91SaJXcfXcL._AC_UL320_.jpg
179,mimosa,kanjivaram style art silk saree color orange,1869.0,6199.0,https://m.media-amazon.com/images/I/91jLPeRx9EL._AC_UL320_.jpg
180,jaam silk fashion,womens traditional prints woven banarasi silk saree blouse piece,949.0,4299.0,https://m.media-amazon.com/images/I/91BZ3enixZL._AC_UL320_.jpg
181,sgf11,womens banarasi kanjivaram soft silk saree blouse piece,999.0,5999.0,https://m.media-amazon.com/images/I/51usCji46NL._AC_UL320_.jpg
182,sidhidata,womens jacquard silk saree blouse piece,999.0,1999.0,https://m.media-amazon.com/images/I/91jSrD-ItPL._AC_UL320_.jpg
183,anni designer,womens art silk saree blouse,269.0,2599.0,https://m.media-amazon.com/images/I/91yPghSgR8L._AC_UL320_.jpg
184,siril,womens chiffon printed saree blouse piece,449.0,1468.0,https://m.media-amazon.com/images/I/71lItZl4-CL._AC_UL320_.jpg
185,sgf11,womens kanjivaram soft silk saree blouse piece,999.0,5999.0,https://m.media-amazon.com/images/I/611-czj387S._AC_UL320_.jpg
186,rani saahiba,womens georgette zari woven border saree blouse piece,799.0,1899.0,https://m.media-amazon.com/images/I/8106ykL8TJL._AC_UL320_.jpg
